,date,price
215,1690806900000,1963.03
216,1690807200000,1964.23
217,1690807500000,1964.88
218,1690807800000,1964.44
219,1690808100000,1965.53
220,1690808400000,1966.63
221,1690808700000,1965.67
222,1690809000000,1964.63
223,1690809300000,1964.35
224,1690809600000,1964.37
225,1690809900000,1963.85
226,1690810200000,1963.96
227,1690810500000,1966.09
228,1690810800000,1967.89
229,1690811100000,1968.04
230,1690811400000,1969.21
231,1690811700000,1971.06
232,1690812000000,1971.8
233,1690812300000,1970.75
234,1690812600000,1970.05
235,1690812900000,1970.32
236,1690813200000,1969.12
237,1690813500000,1968.41
238,1690813800000,1967.62
239,1690814100000,1967.6
240,1690814400000,1967.6
241,1690814700000,1966.69
242,1690815000000,1965.89
243,1690815300000,1966.97
244,1690815600000,1968.47
245,1690815900000,1967.34
246,1690816200000,1967.46
247,1690816500000,1968.29
