date,price
2017-02-23 08:00:00,1247.9
2017-03-03 08:00:00,1226.5
2017-03-13 08:00:00,1204.2
2017-03-21 08:00:00,1241.6
2017-03-29 08:00:00,1251.1
2017-04-06 08:00:00,1252.5
2017-04-14 08:00:00,1284.15
2017-04-24 08:00:00,1269.4
2017-05-02 08:00:00,1255.45
2017-05-10 08:00:00,1222.95
2017-05-18 08:00:00,1255.9
2017-05-26 08:00:00,1265.05
2017-06-05 08:00:00,1279.95
2017-06-13 08:00:00,1262.0
2017-06-21 08:00:00,1242.5
2017-06-29 08:00:00,1243.5
2017-07-07 08:00:00,1215.65
2017-07-17 08:00:00,1234.1
2017-07-25 08:00:00,1254.4
2017-08-02 08:00:00,1269.6
2017-08-10 08:00:00,1284.4
2017-08-18 08:00:00,1295.8
2017-08-28 08:00:00,1285.3
2017-09-05 08:00:00,1335.55
2017-09-13 08:00:00,1327.55
2017-09-21 08:00:00,1292.1
2017-09-29 08:00:00,1283.1
2017-10-09 08:00:00,1278.75
2017-10-17 08:00:00,1284.75
2017-10-25 08:00:00,1275.0
2017-11-02 08:00:00,1279.2
2017-11-10 08:00:00,1284.3
2017-11-20 08:00:00,1286.2
2017-11-28 08:00:00,1291.85
2017-12-06 08:00:00,1263.7
2017-12-14 08:00:00,1251.0
2017-12-22 08:00:00,1264.55
2018-01-01 08:00:00,1291.0
2018-01-09 08:00:00,1311.0
2018-01-17 08:00:00,1335.65
2018-01-25 08:00:00,1354.95
2018-02-02 08:00:00,1331.15
2018-02-12 08:00:00,1322.3
2018-02-20 08:00:00,1339.85
2018-02-28 08:00:00,1317.85
2018-03-08 08:00:00,1321.0
2018-03-16 08:00:00,1310.1
2018-03-26 08:00:00,1352.4
2018-04-03 08:00:00,1333.45
2018-04-11 08:00:00,1350.75
2018-04-19 08:00:00,1348.6
2018-04-27 08:00:00,1321.5
2018-05-07 08:00:00,1309.4
2018-05-17 08:00:00,1289.5
2018-05-31 08:00:00,1305.35
2018-06-08 08:00:00,1298.25
2018-06-18 08:00:00,1281.55
2018-06-29 08:00:00,1250.45
2018-07-10 08:00:00,1254.0
2018-07-18 08:00:00,1224.5
2018-07-26 08:00:00,1228.25
2018-08-06 08:00:00,1209.65
2018-08-15 08:00:00,1182.0
2018-08-23 08:00:00,1192.35
2018-08-31 08:00:00,1202.45
2018-09-10 08:00:00,1196.6
2018-09-19 08:00:00,1203.3
2018-09-27 08:00:00,1185.4
2018-10-08 08:00:00,1186.95
2018-10-16 08:00:00,1230.7
2018-10-24 08:00:00,1230.55
2018-11-01 08:00:00,1231.15
2018-11-09 08:00:00,1211.4
2018-11-19 08:00:00,1221.6
2018-11-27 08:00:00,1221.2
2018-12-05 08:00:00,1240.3
2018-12-13 08:00:00,1245.75
2018-12-21 08:00:00,1258.15
2018-12-31 08:00:00,1279.0
2019-01-08 08:00:00,1286.45
2019-01-16 08:00:00,1292.3
2019-01-24 08:00:00,1283.7
2019-02-01 08:00:00,1318.7
2019-02-11 08:00:00,1306.4
2019-02-19 08:00:00,1334.15
2019-02-27 08:00:00,1322.85
2019-03-07 08:00:00,1285.3
2019-03-15 08:00:00,1303.5
2019-03-25 08:00:00,1319.55
2019-04-02 08:00:00,1290.3
2019-04-10 08:00:00,1305.45
2019-04-18 08:00:00,1275.7
2019-04-30 08:00:00,1282.3
2019-05-09 08:00:00,1286.1
2019-05-17 08:00:00,1280.8
2019-05-28 08:00:00,1278.3
2019-06-05 08:00:00,1335.05
2019-06-13 08:00:00,1335.9
2019-06-21 08:00:00,1397.15
2019-07-01 08:00:00,1390.1
2019-07-09 08:00:00,1391.55
2019-07-17 08:00:00,1410.35
2019-07-25 08:00:00,1416.1
2019-08-02 08:00:00,1441.75
2019-08-12 08:00:00,1504.7
2019-08-20 08:00:00,1504.55
2019-08-29 08:00:00,1540.2
2019-09-06 08:00:00,1523.7
2019-09-16 08:00:00,1497.2
2019-09-24 08:00:00,1520.65
2019-10-02 08:00:00,1492.6
2019-10-10 08:00:00,1494.8
2019-10-18 08:00:00,1490.0
2019-10-28 08:00:00,1492.4
2019-11-05 08:00:00,1488.95
2019-11-13 08:00:00,1462.9
2019-11-21 08:00:00,1467.05
2019-11-29 08:00:00,1460.15
2019-12-09 08:00:00,1461.7
2019-12-17 08:00:00,1475.8
2019-12-30 08:00:00,1514.75
2020-01-09 08:00:00,1550.75
2020-01-17 08:00:00,1557.6
2020-01-27 08:00:00,1580.1
2020-02-04 08:00:00,1558.35
2020-02-12 08:00:00,1563.7
2020-02-20 08:00:00,1619.0
2020-02-28 08:00:00,1609.85
2020-03-09 08:00:00,1672.5
2020-03-17 08:00:00,1536.2
2020-03-25 08:00:00,1605.45
2020-04-02 08:00:00,1616.8
2020-04-14 08:00:00,1741.9
2020-04-22 08:00:00,1710.55
2020-04-30 08:00:00,1702.75
2020-05-11 08:00:00,1702.75
2020-05-19 08:00:00,1737.95
2020-05-28 08:00:00,1717.35
2020-06-05 08:00:00,1683.45
2020-06-15 08:00:00,1710.45
2020-06-23 08:00:00,1768.9
2020-07-01 08:00:00,1771.05
2020-07-09 08:00:00,1812.1
2020-07-17 08:00:00,1807.35
2020-07-27 08:00:00,1936.65
2020-08-03 08:00:00,1958.55
2020-08-04 08:00:00,1977.9
2020-08-05 08:00:00,2048.15
2020-08-07 08:00:00,2031.15
2020-08-11 08:00:00,1939.65
2020-08-12 08:00:00,1931.9
2020-08-13 08:00:00,1944.25
2020-08-17 08:00:00,1972.85
2020-08-19 08:00:00,1981.0
2020-08-20 08:00:00,1927.15
2020-08-21 08:00:00,1924.35
2020-08-25 08:00:00,1911.15
2020-08-27 08:00:00,1923.85
2020-08-28 08:00:00,1957.35
2020-09-01 08:00:00,1972.35
2020-09-03 08:00:00,1940.45
2020-09-07 08:00:00,1928.45
2020-09-08 08:00:00,1910.95
2020-09-09 08:00:00,1947.2
2020-09-11 08:00:00,1947.4
2020-09-15 08:00:00,1949.35
2020-09-16 08:00:00,1961.8
2020-09-17 08:00:00,1936.25
2020-09-21 08:00:00,1909.35
2020-09-23 08:00:00,1873.4
2020-09-24 08:00:00,1861.75
2020-09-25 08:00:00,1859.7
2020-09-29 08:00:00,1883.95
2020-10-01 08:00:00,1902.0
2020-10-02 08:00:00,1903.05
2020-10-05 08:00:00,1909.6
2020-10-07 08:00:00,1884.5
2020-10-09 08:00:00,1923.25
2020-10-12 08:00:00,1925.5
2020-10-13 08:00:00,1891.3
2020-10-15 08:00:00,1891.9
2020-10-19 08:00:00,1905.6
2020-10-20 08:00:00,1898.4
2020-10-21 08:00:00,1924.15
2020-10-23 08:00:00,1903.65
2020-10-27 08:00:00,1905.7
2020-10-28 08:00:00,1869.95
2020-10-29 08:00:00,1870.3
2020-11-02 08:00:00,1889.9
2020-11-04 08:00:00,1900.15
2020-11-05 08:00:00,1938.45
2020-11-06 08:00:00,1940.8
2020-11-10 08:00:00,1878.7
2020-11-12 08:00:00,1874.85
2020-11-13 08:00:00,1890.9
2020-11-16 08:00:00,1885.6
2020-11-18 08:00:00,1876.1
2020-11-20 08:00:00,1875.7
2020-11-23 08:00:00,1840.2
2020-11-24 08:00:00,1799.6
2020-11-26 08:00:00,1807.4
2020-11-30 08:00:00,1762.55
2020-12-01 08:00:00,1810.75
2020-12-02 08:00:00,1822.6
2020-12-04 08:00:00,1843.0
2020-12-08 08:00:00,1868.15
2020-12-09 08:00:00,1841.75
2020-12-10 08:00:00,1844.35
2020-12-14 08:00:00,1831.15
2020-12-16 08:00:00,1851.95
2020-12-17 08:00:00,1890.75
2020-12-18 08:00:00,1879.75
2020-12-22 08:00:00,1877.1
2020-12-29 08:00:00,1874.3
2020-12-30 08:00:00,1887.6
2021-01-04 08:00:00,1943.2
2021-01-06 08:00:00,1931.95
2021-01-08 08:00:00,1862.9
2021-01-11 08:00:00,1847.25
2021-01-12 08:00:00,1841.25
2021-01-14 08:00:00,1841.75
2021-01-18 08:00:00,1833.05
2021-01-19 08:00:00,1834.7
2021-01-20 08:00:00,1856.6
2021-01-22 08:00:00,1852.7
2021-01-26 08:00:00,1856.6
2021-01-27 08:00:00,1843.0
2021-01-28 08:00:00,1853.7
2021-02-01 08:00:00,1862.95
2021-02-03 08:00:00,1835.45
2021-02-04 08:00:00,1785.9
2021-02-05 08:00:00,1802.95
2021-02-09 08:00:00,1839.6
2021-02-11 08:00:00,1840.1
2021-02-12 08:00:00,1816.35
2021-02-15 08:00:00,1817.3
2021-02-17 08:00:00,1780.7
2021-02-19 08:00:00,1786.2
2021-02-22 08:00:00,1807.45
2021-02-23 08:00:00,1799.65
2021-02-25 08:00:00,1779.65
2021-03-01 08:00:00,1734.15
2021-03-02 08:00:00,1723.85
2021-03-03 08:00:00,1711.4
2021-03-05 08:00:00,1696.25
2021-03-09 08:00:00,1716.9
2021-03-10 08:00:00,1716.2
2021-03-11 08:00:00,1724.25
2021-03-15 08:00:00,1723.65
2021-03-17 08:00:00,1729.65
2021-03-18 08:00:00,1725.9
2021-03-19 08:00:00,1735.2
2021-03-23 08:00:00,1726.2
2021-03-25 08:00:00,1737.3
2021-03-26 08:00:00,1731.8
2021-03-29 08:00:00,1705.95
2021-03-31 08:00:00,1691.05
2021-04-06 08:00:00,1744.65
2021-04-07 08:00:00,1738.05
2021-04-08 08:00:00,1755.5
2021-04-12 08:00:00,1732.85
2021-04-14 08:00:00,1735.55
2021-04-15 08:00:00,1757.2
2021-04-16 08:00:00,1774.45
2021-04-20 08:00:00,1777.85
2021-04-22 08:00:00,1787.75
2021-04-23 08:00:00,1781.8
2021-04-26 08:00:00,1773.35
2021-04-28 08:00:00,1772.2
2021-04-30 08:00:00,1767.65
2021-05-04 08:00:00,1797.75
2021-05-05 08:00:00,1782.25
2021-05-07 08:00:00,1836.55
2021-05-11 08:00:00,1829.1
2021-05-12 08:00:00,1830.7
2021-05-13 08:00:00,1821.8
2021-05-17 08:00:00,1853.7
2021-05-19 08:00:00,1888.45
2021-05-20 08:00:00,1878.3
2021-05-21 08:00:00,1875.9
2021-05-25 08:00:00,1887.0
2021-05-27 08:00:00,1891.45
2021-05-28 08:00:00,1899.95
2021-06-01 08:00:00,1899.35
2021-06-03 08:00:00,1866.55
2021-06-07 08:00:00,1888.4
2021-06-08 08:00:00,1893.15
2021-06-09 08:00:00,1894.6
2021-06-11 08:00:00,1881.05
2021-06-15 08:00:00,1865.1
2021-06-16 08:00:00,1860.75
2021-06-17 08:00:00,1778.7
2021-06-21 08:00:00,1775.05
2021-06-23 08:00:00,1791.6
2021-06-24 08:00:00,1784.85
2021-06-25 08:00:00,1786.65
2021-06-29 08:00:00,1755.45
2021-07-01 08:00:00,1781.5
2021-07-02 08:00:00,1786.15
2021-07-05 08:00:00,1791.35
2021-07-07 08:00:00,1804.65
2021-07-09 08:00:00,1806.0
2021-07-12 08:00:00,1792.4
2021-07-13 08:00:00,1813.85
2021-07-15 08:00:00,1823.75
2021-07-19 08:00:00,1814.9
2021-07-20 08:00:00,1823.05
2021-07-21 08:00:00,1802.15
2021-07-23 08:00:00,1799.6
2021-07-27 08:00:00,1800.35
2021-07-28 08:00:00,1796.6
2021-07-29 08:00:00,1829.3
2021-08-02 08:00:00,1811.45
2021-08-04 08:00:00,1829.1
2021-08-05 08:00:00,1800.75
2021-08-06 08:00:00,1762.9
2021-08-10 08:00:00,1723.35
2021-08-12 08:00:00,1747.4
2021-08-13 08:00:00,1773.85
2021-08-16 08:00:00,1786.35
2021-08-18 08:00:00,1783.45
2021-08-20 08:00:00,1779.05
2021-08-23 08:00:00,1802.0
2021-08-24 08:00:00,1808.45
2021-08-26 08:00:00,1786.6
2021-08-31 08:00:00,1814.85
2021-09-01 08:00:00,1811.8
2021-09-02 08:00:00,1812.55
2021-09-06 08:00:00,1821.6
2021-09-08 08:00:00,1786.0
2021-09-09 08:00:00,1788.25
2021-09-10 08:00:00,1794.6
